114/12/04,一、日期 ： 中華民國114年12月3日（星期三）0600時至12月4日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次（進入西南空域2架次）及共艦5艘，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/25,中共解放軍臺海周邊海、空域動態 發布時間：112年10月25日0900時 一、日期： 中華民國112年10月24日（星期二）0600時至10月25日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機19架次(其中逾越海峽中線及其延伸線進入北部、東南及西南空域6架次)、共艦6艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/24,中共解放軍臺海周邊海、空域動態 發布時間：112年10月24日0900時 一、日期： 中華民國112年10月23日（星期一）0600時至10月24日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南空域1架次) 、共艦6艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/23,中共解放軍臺海周邊海、空域動態 發布時間：112年10月23日0900時 一、日期： 中華民國112年10月22日（星期日）0600時至10月23日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南空域1架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/22,中共解放軍臺海周邊海、空域動態 發布時間：112年10月22日0900時 一、日期： 中華民國112年10月21日（星期六）0600時至10月22日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中逾越海峽中線及進入北部空域2架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/21,中共解放軍臺海周邊海、空域動態 發布時間：112年10月21日0900時 一、日期： 中華民國112年10月20日（星期五）0600時至10月21日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次(其中進入西南空域1架次)、共艦6艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/20,中共解放軍臺海周邊海、空域動態 發布時間：112年10月20日0900時 一、日期： 中華民國112年10月19日（星期四）0600時至10月20日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機26架次(其中逾越海峽中線及其延伸線進入西南及東南空域18架次)、共艦7艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/19,中共解放軍臺海周邊海、空域動態 發布時間：112年10月19日0900時 一、日期： 中華民國112年10月18日（星期三）0600時至10月19日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中逾越海峽中線及其延伸線進入西南空域2架次)、共艦4艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/18,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年10月17日（星期二）0600時至10月18日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/17,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年10月16日（星期一）0600時至10月17日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/16,中共解放軍臺海周邊海、空域動態 發布時間：112年10月16日0900時 一、日期： 中華民國112年10月15日（星期日）0600時至10月16日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/15,中共解放軍臺海周邊海、空域動態 發布時間：112年10月15日0900時 一、日期： 中華民國112年10月14日（星期六）0600時至10月15日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中逾越海峽中線及進入北部空域2架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/14,中共解放軍臺海周邊海、空域動態 發布時間：112年10月14日0900時 一、日期： 中華民國112年10月13日（星期五）0600時至10月14日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次、共艦8艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/13,中共解放軍臺海周邊海、空域動態 發布時間：112年10月13日0900時 一、日期： 中華民國112年10月12日（星期四）0600時至10月13日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14次(其中進入西南空域1架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/12,中共解放軍臺海周邊海、空域動態 發布時間：112年10月12日0900時 一、日期： 中華民國112年10月11日（星期三）0600時至10月12日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次(其中逾越海峽中線及其延伸線進入西南及北部空域14架次)、共艦6艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/11,中共解放軍臺海周邊海、空域動態 發布時間：112年10月11日0910時 一、日期： 中華民國112年10月10日（星期二）0600時至10月11日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中進入北部及西南空域6架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/10,中共解放軍臺海周邊海、空域動態 發布時間：112年10月10日0900時 一、日期： 中華民國112年10月9日（星期一）0600時至10月10日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共艦4艘次，在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/09,中共解放軍臺海周邊海、空域動態 發布時間：112年10月9日0900時 一、日期： 中華民國112年10月8日（星期日）0600時至10月9日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次、共艦4艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/08,中共解放軍臺海周邊海、空域動態 發布時間：112年10月8日0900時 一、日期： 中華民國112年10月7日（星期六）0600時至10月8日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦3艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/07,中共解放軍臺海周邊海、空域動態 發布時間：112年10月7日0900時 一、日期： 中華民國112年10月6日（星期五）0600時至10月7日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦1艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/06,中共解放軍臺海周邊海、空域動態 發布時間：112年10月6日0900時 一、日期： 中華民國112年10月5日（星期四）0600時至10月6日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次、共艦1艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/05,中共解放軍臺海周邊海、空域動態 發布時間：112年10月5日0900時 一、日期： 中華民國112年10月4日（星期三）0600時至10月5日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機1架次、共艦3艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/10/04,中共解放軍臺海周邊海、空域動態 發布時間：112年10月4日0900時 一、日期： 中華民國112年10月3日（星期二）0600時至10月4日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機29架次(其中逾越海峽中線及其延伸線進入北部及西南空域16架次)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/03,中共解放軍臺海周邊海、空域動態 發布時間：112年10月3日0900時 一、日期： 中華民國112年10月2日（星期一）0600時至10月3日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中逾越海峽中線進入西南空域2架次)、共艦4艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/10/02,中共解放軍臺海周邊海、空域動態 發布時間：112年10月2日0900時 一、日期： 中華民國112年10月1日（星期日）0600時至10月2日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖
112/10/01,中共解放軍臺海周邊海、空域動態 發布時間：112年10月1日0900時 一、日期： 中華民國112年9月30日（星期六）0600時至10月1日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機5架次(其中逾越海峽中線進入西南空域1架)、共艦5艘次，在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/30,中共解放軍臺海周邊海、空域動態 發布時間：112年9月30日0900時 一、日期： 中華民國112年9月29日（星期五）0600時至9月30日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機21架次(其中逾越海峽中線及其延伸線進入西南空域4架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/29,中共解放軍臺海周邊海、空域動態 發布時間：112年9月29日0900時 一、日期： 中華民國112年9月28日（星期四）0600時至9月29日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機23架次(其中進入西南及東南空域4架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/28,中共解放軍臺海周邊海、空域動態 發布時間：112年9月28日0900時 一、日期： 中華民國112年9月27日（星期三）0600時至9月28日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機13架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/27,中共解放軍臺海周邊海、空域動態 發布時間：112年9月27日0900時 一、日期： 中華民國112年9月26日（星期二）0500時至9月27日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次(其中逾越海峽中線及其延伸線進入北部、西南及東南空域16架次)、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/26,中共解放軍臺海周邊海、空域動態 發布時間：112年9月26日0900時 一、日期： 中華民國112年9月25日（星期一）0600時至9月26日（星期二）0500時止。 二、活動動態： 迄0500時止，偵獲共機7架次(其中進入西南及東南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/25,中共解放軍臺海周邊海、空域動態 發布時間：112年9月25日0900時 一、日期： 中華民國112年9月24日（星期日）0600時至9月25日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/24,中共解放軍臺海周邊海、空域動態 發布時間：112年9月24日0900時 一、日期： 中華民國112年9月23日（星期六）0600時至9月24日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入西南及東南空域2架次)、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/23,中共解放軍臺海周邊海、空域動態 發布時間：112年9月23日0900時 一、日期： 中華民國112年9月22日（星期五）0600時至9月23日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東南空域2架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/22,中共解放軍臺海周邊海、空域動態 發布時間：112年9月22日0900時 一、日期： 中華民國112年9月21日（星期四）0600時至9月22日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次(其中逾越海峽中線及其延伸線進入北部、西南及東南空域計24架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/21,中共解放軍臺海周邊海、空域動態 發布時間：112年9月21日0900時 一、日期： 中華民國112年9月20日（星期三）0600時至9月21日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機20架次(其中逾越海峽中線及其延伸線進入北部及西南空域10架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/20,中共解放軍臺海周邊海、空域動態 發布時間：112年9月20日0900時 一、日期： 中華民國112年9月19日（星期二）0600時至9月20日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中逾越海峽中線及其延伸線進入北部及西南空域2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/19,中共解放軍臺海周邊海、空域動態 發布時間：112年9月19日0920時 一、日期： 中華民國112年9月18日（星期一）0600時至9月19日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機55架次(進入西南空域27架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/18,中共解放軍臺海周邊海、空域動態 發布時間：112年9月18日0910時 一、日期： 中華民國112年9月17日（星期日）0600時至9月18日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機103架次(其中逾越海峽中線及其延伸線進入西南及東南空域計40架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/17,中共解放軍臺海周邊海、空域動態 發布時間：112年9月17日0900時 一、日期： 中華民國112年9月16日（星期六）0600時至9月17日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/16,中共解放軍臺海周邊海、空域動態 發布時間：112年9月16日0900時 一、日期： 中華民國112年9月15日（星期五）0600時至9月16日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/15,中共解放軍臺海周邊海、空域動態 發布時間：112年9月15日0900時 一、日期： 中華民國112年9月14日（星期四）0600時至9月15日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域13架次)、共艦14艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/14,中共解放軍臺海周邊海、空域動態 發布時間：112年9月14日0900時 一、日期： 中華民國112年9月13日（星期三）0600時至9月14日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機68架次(其中逾越海峽中線及其延伸線進入西南部及東南空域40架次)、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/13,中共解放軍臺海周邊海、空域動態 發布時間：112年9月13日0900時 一、日期： 中華民國112年9月12日（星期二）0600時至9月13日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機27架次(其中逾越海峽中線及其延伸線進入北部及西南空域9架次)、共艦13艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/12,中共解放軍臺海周邊海、空域動態 發布時間：112年9月12日0900時 一、日期： 中華民國112年9月11日（星期一）0600時至9月12日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機22架次(其中逾越海峽中線及其延伸線進入西南空域13架次)、共艦20艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/11,中共解放軍臺海周邊海、空域動態 發布時間：112年9月11日0900時 一、日期： 中華民國112年9月10日（星期日）0600時至9月11日（星期一）0500時止。 二、活動動態： 迄0500時止，偵獲共機26架次(其中逾越海峽中線及其延伸線進入西南空域11架次)、共艦13艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/09/10,中共解放軍臺海周邊海、空域動態 發布時間：112年9月10日0900時 一、日期： 中華民國112年9月9日（星期六）0600時至9月10日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/09,中共解放軍臺海周邊海、空域動態 發布時間：112年9月9日0900時 一、日期： 中華民國112年9月8日（星期五）0600時至9月9日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/08,中共解放軍臺海周邊海、空域動態 發布時間：112年9月8日0900時 一、日期： 中華民國112年9月7日（星期四）0600時至9月8日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機3架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/07,中共解放軍臺海周邊海、空域動態 發布時間：112年9月7日0900時 一、日期： 中華民國112年9月6日（星期三）0600時至9月7日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共艦3艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/06,中共解放軍臺海周邊海、空域動態 發布時間：112年9月6日0900時 一、日期： 中華民國112年9月5日（星期二）0600時至9月6日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦4艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/05,中共解放軍臺海周邊海、空域動態 發布時間：112年9月5日0900時 一、日期： 中華民國112年9月4日（星期一）0600時至9月5日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共艦1艘次，持續在臺海周邊活動。國軍運用任務艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/04,中共解放軍臺海周邊海、空域動態 發布時間：112年9月4日0900時 一、日期： 中華民國112年9月3日（星期日）0600時至9月4日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次，持續在臺海周邊活動。國軍運用任務機及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/03,中共解放軍臺海周邊海、空域動態 發布時間：112年9月3日0900時 一、日期： 中華民國112年9月2日（星期六）0600時至9月3日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦1艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/02,中共解放軍臺海周邊海、空域動態 發布時間：112年9月2日0900時 一、日期： 中華民國112年9月1日（星期五）0600時至9月2日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/09/01,中共解放軍臺海周邊海、空域動態 發布時間：112年9月1日0900時 一、日期： 中華民國112年8月31日（星期四）0600時至9月1日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機4架次、共艦3艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/31,中共解放軍臺海周邊海、空域動態 發布時間：112年8月31日0900時 一、日期： 中華民國112年8月30日（星期三）0600時至8月31日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機12架次、共艦1艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/30,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月29日（星期二）0600時至8月30日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次（其中逾越海峽中線及其延伸線進入西南空域12架次）、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/29,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月28日（星期一）0600時至8月29日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線及其延伸線進入西南、東南及東北空域3架次）、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/28,中共解放軍臺海周邊海、空域動態 一、日期： 中華民國112年8月27日（星期日）0600時至8月28日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機11架次（其中逾越海峽中線及其延伸線進入西南、東南及東北空域6架次）、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/27,中共解放軍臺海周邊海、空域動態 發布時間：112年8月27日0900時 一、日期： 中華民國112年8月26日（星期六）0600時至8月27日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機8架次(其中進入西南及東南空域1架次)、共艦4艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/26,中共解放軍臺海周邊海、空域動態 發布時間：112年8月26日0900時 一、日期： 中華民國112年8月25日（星期五）0600時至8月26日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機32架次(其中逾越海峽中線及其延伸線進入西南、東南及東北空域20架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/25,中共解放軍臺海周邊海、空域動態 發布時間：112年8月25日0900時 一、日期： 中華民國112年8月24日（星期四）0600時至8月25日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機14架次(其中逾越海峽中線及其延伸線進入北部及東南空域3架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/24,中共解放軍臺海周邊海、空域動態 發布時間：112年8月24日0900時 一、日期： 中華民國112年8月23日（星期三）0600時至8月24日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次(其中進入東南空域1架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/23,中共解放軍臺海周邊海、空域動態 發布時間：112年8月23日0900時 一、日期： 中華民國112年8月22日（星期二）0600時至8月23日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次(其中進入東南空域1架次)、共艦8艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/22,中共解放軍臺海周邊海、空域動態 發布時間：112年8月22日0900時 一、日期： 中華民國112年8月21日（星期一）0600時至8月22日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機15架次(其中進入西南空域5架次)、共艦10艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/21,中共解放軍臺海周邊海、空域動態 發布時間：112年8月21日0900時 一、日期： 中華民國112年8月20日（星期日）0600時至8月21日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/20,中共解放軍臺海周邊海、空域動態 發布時間：112年8月20日0900時 一、日期： 中華民國112年8月19日（星期六）0600時至8月20日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機45架次(其中逾越海峽中線及其延伸線進入西南空域27架次)、共艦9艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/19,中共解放軍臺海周邊海、空域動態 發布時間：112年8月19日0900時 一、日期： 中華民國112年8月18日（星期五）0600時至8月19日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/18,中共解放軍臺海周邊海、空域動態 發布時間：112年8月18日0900時 一、日期： 中華民國112年8月17日（星期四）0600時至8月18日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/17,中共解放軍臺海周邊海、空域動態 發布時間：112年8月17日0900時 一、日期： 中華民國112年8月16日（星期三）0600時至8月17日（星期四）0600時止。 二、活動動態： 迄0600時止，偵獲共機10架次(其中進入西南及東部空域2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/16,中共解放軍臺海周邊海、空域動態 發布時間：112年8月16日0900時 一、日期： 中華民國112年8月15日（星期二）0600時至8月16日（星期三）0600時止。 二、活動動態： 迄0600時止，偵獲共機16架次(其中進入西南及東部空域3架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/15,中共解放軍臺海周邊海、空域動態 發布時間：112年8月15日0900時 一、日期： 中華民國112年8月14日（星期一）0600時至8月15日（星期二）0600時止。 二、活動動態： 迄0600時止，偵獲共機18架次(其中逾越海峽中線及其延伸線進入西南空域5架次)、共艦5艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/14,中共解放軍臺海周邊海、空域動態 發布時間：112年8月14日0900時 一、日期： 中華民國112年8月13日（星期日）0600時至8月14日（星期一）0600時止。 二、活動動態： 迄0600時止，偵獲共機6架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/13,中共解放軍臺海周邊海、空域動態 發布時間：112年8月13日0900時 一、日期： 中華民國112年8月12日（星期六）0600時至8月13日（星期日）0600時止。 二、活動動態： 迄0600時止，偵獲共機7架次、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。 三、上述期間共機無逾越海峽中線及西南空域，故無提供航跡圖。
112/08/12,中共解放軍臺海周邊海、空域動態 發布時間：112年8月12日0900時 一、日期： 中華民國112年8月11日（星期五）0600時至8月12日（星期六）0600時止。 二、活動動態： 迄0600時止，偵獲共機9架次(其中進入東南部空域1架次)、共艦7艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
112/08/11,中共解放軍臺海周邊海、空域動態 發布時間：112年8月11日0900時 一、日期： 中華民國112年8月10日（星期四）0600時至8月11日（星期五）0600時止。 二、活動動態： 迄0600時止，偵獲共機2架次(其中逾越海峽中線2架次)、共艦6艘次，持續在臺海周邊活動。國軍運用任務機、艦及岸置飛彈系統嚴密監控與應處。
